file_path,qualname,function_name,class_name,arg_count,decorator_count,returns_value,touches_state,touches_memory,touches_phase,touches_reduction,touches_registry,touches_io
ciel_omega/bio/crystal_receiver.py,receive,receive,,3,0,1,0,0,0,0,0,0
ciel_omega/bio/eeg_emotion_mapper.py,map,map,,2,0,1,0,0,1,0,0,0
ciel_omega/bio/eeg_processor.py,band_powers,band_powers,,2,0,1,0,0,1,0,0,0
ciel_omega/bio/eeg_processor.py,_var_at_scale,_var_at_scale,,1,0,1,0,0,0,0,0,0
ciel_omega/bio/schumann.py,schumann_harmonics,schumann_harmonics,,2,0,1,0,0,0,0,0,0
ciel_omega/bio/schumann.py,__post_init__,__post_init__,,1,0,0,0,0,0,0,0,0
ciel_omega/bio/schumann.py,phase,phase,,3,0,1,0,0,1,0,0,0
ciel_omega/bio/schumann.py,carrier,carrier,,4,0,1,0,0,1,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,__init__,__init__,,3,0,0,0,1,1,0,1,1
ciel_omega/bridge/memory_core_phase_bridge.py,_wrap,_wrap,,1,1,1,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,_memory_to_core,_memory_to_core,,1,0,0,1,1,1,0,1,0
ciel_omega/bridge/memory_core_phase_bridge.py,_build_eba_results,_build_eba_results,,2,1,1,1,1,1,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,compute_white_thread_amplitude,compute_white_thread_amplitude,,3,0,1,0,0,0,0,0,1
ciel_omega/bridge/memory_core_phase_bridge.py,step,step,,5,0,1,0,1,1,0,1,1
ciel_omega/bridge/memory_core_phase_bridge.py,__init__,__init__,,1,0,0,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,__init__,__init__,,3,0,0,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,initialize_gaussian_pulse,initialize_gaussian_pulse,,1,0,0,0,0,0,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,evolution_step,evolution_step,,2,0,0,0,0,1,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,compute_stability_metrics,compute_stability_metrics,,1,1,1,1,0,1,0,0,0
ciel_omega/bridge/memory_core_phase_bridge.py,__init__,__init__,,2,0,0,1,0,1,0,1,0
ciel_omega/bridge/memory_core_phase_bridge.py,process_input,process_input,,4,0,1,1,0,1,0,1,0
ciel_omega/bridge/memory_core_phase_bridge.py,integrate_with_layer_2_fields,integrate_with_layer_2_fields,,3,0,1,0,0,1,0,0,0
ciel_omega/calibration/rcde.py,normalize_field,normalize_field,,1,1,1,0,0,0,0,0,0
ciel_omega/calibration/rcde.py,compute_resonance_index,compute_resonance_index,,2,1,1,0,0,0,0,0,0
ciel_omega/calibration/rcde.py,calibrate,calibrate,,2,1,1,0,0,0,0,0,0
ciel_omega/calibration/rcde.py,step,step,,3,0,1,0,0,0,0,0,0
ciel_omega/calibration/rcde.py,step,step,,3,0,1,0,0,0,0,0,0
ciel_omega/ciel/__main__.py,setup_logging,setup_logging,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/__main__.py,parse_args,parse_args,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/__main__.py,_dump,_dump,,1,0,1,0,0,0,0,0,1
ciel_omega/ciel/__main__.py,run_repl,run_repl,,2,0,0,0,0,0,0,0,1
ciel_omega/ciel/__main__.py,run_once,run_once,,3,0,0,0,0,0,0,0,0
ciel_omega/ciel/__main__.py,_process_text,_process_text,,4,0,1,0,0,0,0,0,0
ciel_omega/ciel/__main__.py,main,main,,1,0,0,0,0,0,0,1,0
ciel_omega/ciel/__main__.py,default,default,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/cli.py,_run_engine,_run_engine,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/cli.py,_json_default,_json_default,,1,0,1,0,0,0,0,0,1
ciel_omega/ciel/cli.py,run_engine,run_engine,,0,0,0,0,1,0,0,0,1
ciel_omega/ciel/cli.py,smoke_test,smoke_test,,0,0,0,0,0,0,0,0,0
ciel_omega/ciel/engine.py,boot,boot,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/engine.py,shutdown,shutdown,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/engine.py,step,step,,2,0,1,1,1,0,0,0,0
ciel_omega/ciel/engine.py,interact,interact,,5,0,1,1,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_coerce_role,_coerce_role,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_format_dialogue,_format_dialogue,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_summarize_state,_summarize_state,,1,0,1,1,0,0,0,0,1
ciel_omega/ciel/gguf_backends.py,_extract_text,_extract_text,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_parse_json_object,_parse_json_object,,1,0,1,0,0,0,0,0,1
ciel_omega/ciel/gguf_backends.py,__init__,__init__,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_lazy_init,_lazy_init,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,generate_reply,generate_reply,,3,0,1,1,0,0,0,0,1
ciel_omega/ciel/gguf_backends.py,__init__,__init__,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,_lazy_init,_lazy_init,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/gguf_backends.py,analyse_state,analyse_state,,3,0,1,1,0,0,0,0,1
ciel_omega/ciel/hf_backends.py,__init__,__init__,,4,0,0,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,_lazy_init,_lazy_init,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,_format_dialogue,_format_dialogue,,2,0,1,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,_summarize_state,_summarize_state,,2,0,1,1,0,0,0,0,1
ciel_omega/ciel/hf_backends.py,generate_reply,generate_reply,,3,0,1,1,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,__init__,__init__,,4,0,0,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,_lazy_init,_lazy_init,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel/hf_backends.py,_build_prompt,_build_prompt,,3,0,1,1,0,0,0,0,1
ciel_omega/ciel/hf_backends.py,_parse_output,_parse_output,,2,0,1,0,0,0,0,0,1
ciel_omega/ciel/hf_backends.py,analyse_state,analyse_state,,3,0,1,1,0,0,0,0,0
ciel_omega/ciel/language_backend.py,generate_reply,generate_reply,,3,0,0,1,0,0,0,0,0
ciel_omega/ciel/language_backend.py,analyse_state,analyse_state,,3,0,0,1,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,_build_hf_backends,_build_hf_backends,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,_build_gguf_backends,_build_gguf_backends,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,_candidate_gguf_dirs,_candidate_gguf_dirs,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,_resolve_profile_model_path,_resolve_profile_model_path,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,_coerce_gguf_model_path,_coerce_gguf_model_path,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,build_primary_backend,build_primary_backend,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,build_aux_backend,build_aux_backend,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,build_gguf_primary_backend,build_gguf_primary_backend,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,build_gguf_aux_backend,build_gguf_aux_backend,,0,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,build_default_bundle,build_default_bundle,,0,0,1,0,0,0,0,0,1
ciel_omega/ciel/llm_registry.py,__init__,__init__,,3,0,0,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,generate_reply,generate_reply,,3,0,1,1,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,__init__,__init__,,3,0,0,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,analyse_state,analyse_state,,3,0,1,1,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,analyse_state,analyse_state,,3,0,1,1,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,primary_for,primary_for,,2,0,1,0,0,0,0,0,0
ciel_omega/ciel/llm_registry.py,composite_aux,composite_aux,,1,0,1,0,0,0,0,0,0
ciel_omega/ciel_client.py,main,main,,0,0,0,0,0,0,0,0,0
ciel_omega/ciel_client.py,__init__,__init__,,6,0,0,0,0,0,0,0,0
ciel_omega/ciel_client.py,_system_prompt,_system_prompt,,0,1,1,1,0,0,0,0,0
ciel_omega/ciel_client.py,process,process,,4,0,1,1,0,0,0,0,0
ciel_omega/ciel_client.py,interactive_session,interactive_session,,1,0,0,0,0,0,0,0,0
ciel_omega/ciel_io/bootstrap.py,ensure,ensure,,0,1,0,0,0,0,0,0,0
